category_id,difficulty,statement,option_1,option_2,option_3,option_4,correct_option_index,explanation_correct,explanation_incorrect,source_citation
1,5,"¿Qué porcentaje de pacientes son diagnosticados cuando el cáncer ya hizo metástasis a distancia?","1-2%","Aproximadamente 20-25%","80%","Ninguno",1,"Correcto. Lamentablemente, cerca de un cuarto de los pacientes debutan con enfermedad avanzada.","Incorrecto. Es una cifra significativa (1 de cada 4 o 5), lo que justifica el tamizaje masivo.","Datos SEER / MSP"
4,4,"¿La aspirina se recomienda para prevenir cáncer de colon?","Nunca","En algunos casos bajo prescripción médica por sus riesgos","A todo el mundo","Solo a niños",1,"Correcto. Puede reducir el riesgo, pero su uso crónico tiene riesgos de sangrado; debe ser indicado.","Incorrecto. No se recomienda indiscriminadamente por el riesgo de hemorragia digestiva.","Guías USPSTF"
2,3,"¿La diabetes tipo 2 es un factor de riesgo para cáncer de colon?","Sí, están asociadas","No tiene nada que ver","Solo la diabetes tipo 1","Protege contra el cáncer",0,"Correcto. La hiperinsulinemia y la inflamación crónica en diabetes tipo 2 elevan el riesgo.","Incorrecto. Existe una correlación positiva sólida entre diabetes tipo 2 y cáncer colorrectal.","Epidemiología Clínica"
3,1,"Si un familiar directo tuvo cáncer de colon antes de los 50 años, ¿cuándo debes empezar tu tamizaje?","A los 50 años","10 años antes de la edad de diagnóstico de tu familiar o a los 40 (lo que ocurra primero)","A los 60 años","No necesitas tamizaje",1,"Correcto. En casos de historia familiar fuerte, el tamizaje se adelanta significativamente.","Incorrecto. Esperar a la edad estándar (45/50) es peligroso en estos casos de alto riesgo.","Guías NCCN / MSP"
1,1,"¿El cáncer de colon da síntomas siempre en sus etapas iniciales?","Sí, siempre duele","No, suele ser asintomático al principio","Da fiebre alta siempre","Produce vómitos inmediatos",1,"Correcto. Esta es la 'trampa' de la enfermedad y la razón por la que el tamizaje preventivo es vital.","Incorrecto. Generalmente es silencioso hasta que la lesión crece considerablemente.","Clínica Oncológica"
4,5,"¿Qué mecanismo explica cómo las carnes procesadas causan cáncer?","Contienen nitratos y nitritos que forman nitrosaminas","Contienen demasiado azúcar","Son muy frías","Tienen mucha agua",0,"Correcto. Los conservantes (nitratos) pueden convertirse en compuestos carcinógenos en el intestino.","Incorrecto. El riesgo principal viene de los aditivos conservantes y el hierro hemo, no el azúcar.","Bioquímica del Cáncer"
2,2,"¿La edad avanzada es el factor de riesgo más fuerte para cáncer de colon esporádico?","Sí, el riesgo aumenta con la edad","No, afecta más a jóvenes","Es igual en todas las edades","Solo afecta a bebés",0,"Correcto. La mayoría de diagnósticos ocurren después de los 50 años, aunque aumenta en jóvenes.","Incorrecto. El envejecimiento es el factor de riesgo demográfico más determinante.","Estadísticas Vitales"
3,2,"¿Cada cuánto tiempo se suele recomendar una colonoscopía si el resultado es normal?","Cada año","Cada 10 años","Cada mes","Nunca más",1,"Correcto. Si no hay hallazgos ni alto riesgo, el intervalo estándar es decenal.","Incorrecto. Al ser invasiva y de alta precisión, no requiere repetición anual si todo está bien.","Guías ACS"
4,2,"¿Mantener un peso saludable ayuda a prevenir este cáncer?","Sí, es fundamental","No influye","Solo ayuda al corazón","Es malo estar delgado",0,"Correcto. El tejido adiposo en exceso produce señales inflamatorias que favorecen el cáncer.","Incorrecto. El control de peso es una de las medidas preventivas más eficaces.","WCRF"
1,4,"¿Qué es la estadificación TNM?","Una marca de medicinas","El sistema para describir la extensión del cáncer (Tumor, Ganglios, Metástasis)","Un tipo de cirugía","Un seguro médico",1,"Correcto. Es el estándar global para clasificar la gravedad y decidir el tratamiento.","Incorrecto. Son siglas técnicas de oncología para clasificar la etapa.","Oncología General"
2,4,"¿Tener pólipos adenomatosos garantiza que tendrás cáncer?","Sí, 100% seguro","No, pero aumenta el riesgo y deben vigilarse","Es imposible que se vuelvan cáncer","Protegen el colon",1,"Correcto. No todos malignizan, pero son la lesión precursora que hay que controlar.","Incorrecto. No es una sentencia, es un riesgo gestionable mediante extirpación.","Patología Digestiva"
3,3,"¿La prueba de sangre en heces requiere dieta especial previa?","Sí, siempre","Las pruebas modernas (FIT) generalmente no requieren dieta","Hay que ayunar 3 días","Solo comer líquidos",1,"Correcto. A diferencia de pruebas antiguas (guayaco), el FIT es específico para hemoglobina humana.","Incorrecto. El FIT es más cómodo precisamente porque no restringe la dieta.","Laboratorio Clínico"
4,3,"¿Cocinar carnes a muy altas temperaturas (frituras, parrilla) afecta el riesgo?","No afecta","Sí, puede generar aminas heterocíclicas cancerígenas","Reduce el riesgo","Mata las bacterias y es más sano",1,"Correcto. La carbonización de la carne genera compuestos mutagénicos peligrosos.","Incorrecto. Aunque mata bacterias, químicamente genera tóxicos asociados al cáncer de colon.","Seguridad Alimentaria"
1,2,"¿Qué parte del colon se afecta más frecuentemente?","El ciego","El colon sigmoides y recto","El apéndice","El intestino delgado",1,"Correcto. La mayoría de tumores se localizan en la parte distal (sigmoides/recto).","Incorrecto. Aunque puede aparecer en cualquier lado, el lado izquierdo/distal es más frecuente.","Anatomía Patológica"
2,1,"¿El estrés causa directamente cáncer de colon?","Sí, es la causa principal","No hay evidencia directa, aunque afecta la salud general","Lo cura","Solo el estrés laboral",1,"Correcto. No es un carcinógeno directo, aunque los malos hábitos por estrés sí influyen.","Incorrecto. Científicamente no se considera causa directa, a diferencia del tabaco o dieta.","Psico-oncología"
3,4,"¿Qué es el antígeno carcinoembrionario (CEA)?","Una vacuna","Un marcador tumoral en sangre para seguimiento, no para diagnóstico inicial","Un medicamento","Una prueba de orina",1,"Correcto. Se usa para ver respuesta al tratamiento o recaídas, no sirve para tamizaje masivo.","Incorrecto. No tiene sensibilidad para diagnosticar precozmente en población sana.","Marcadores Tumorales"
4,1,"¿Beber mucha agua previene el cáncer de colon?","No sirve de nada","Ayuda al tránsito intestinal y salud general","Es peligroso","Solo agua con gas",1,"Correcto. Una buena hidratación favorece el tránsito y reduce el tiempo de contacto de tóxicos.","Incorrecto. Es parte de un estilo de vida saludable, aunque no sea una 'cura' mágica.","Fisiología Digestiva"
2,3,"¿La radioterapia pélvica previa (ej: por cáncer de próstata) aumenta el riesgo?","Sí, ligeramente","No","Lo disminuye","Solo en mujeres",0,"Correcto. La radiación previa en la zona puede aumentar el riesgo de segundos tumores años después.","Incorrecto. Es un factor de riesgo iatrogénico reconocido en sobrevivientes de cáncer.","Efectos Tardíos Tratamiento"
1,5,"¿Cuál es la tendencia de incidencia de cáncer de colon en adultos jóvenes (<50 años)?","Está disminuyendo","Está aumentando preocupantemente","Se mantiene estable","No existe en jóvenes",1,"Correcto. Globalmente se observa un aumento inexplicado en menores de 50 años.","Incorrecto. La tendencia al alza es lo que motivó bajar la edad de tamizaje a 45.","Estudios Epidemiológicos Recientes"
3,5,"¿Qué es la cápsula endoscópica?","Una pastilla para el dolor","Una cámara en una píldora para visualizar el intestino","Un supositorio","Una cirugía",1,"Correcto. Se usa principalmente para intestino delgado, pero existen versiones para colon.","Incorrecto. Es tecnología diagnóstica de imagen, no farmacológica.","Tecnología Médica"
4,4,"¿El consumo de probióticos (yogur, kéfir) es beneficioso?","Es tóxico","Podría modular la microbiota y proteger, aunque se estudia","Causa cáncer","Solo en ayunas",1,"Correcto. Una microbiota sana es clave, y los probióticos pueden ayudar a mantener el equilibrio.","Incorrecto. No hay evidencia de toxicidad; al contrario, el potencial es beneficioso.","Microbiota y Cáncer"
